Longitude,Latitude,Elevation,Area,Farmland,Forest,Grassland,Shrubland,Wetland,Impervious,Bareland,Snow and ice,Clay,Sand,Silt,MAP,MAT,Radiation_intensity,DOC,RA_ligDOM,DA_ligDOM,DA_DOM,AImod,DBEC,NOSC,G
83.93003,57.32176,66,1359.340422,0.004185945,0.521639791,0.421692473,0.002261899,0.045495671,0.004082871,0.000629896,1.14527E-05,21,25,54,480,0.16250002,117,12.18306618,0.465341249,0.998796771,0.999513273,0.200122481,0.58329425,0.137079559,56.39323258
83.623475,57.650442,59,3612.715878,1.69977E-05,0.602660714,0.337563883,0.001444808,0.055310662,7.93228E-05,0.002923612,0,20,38,42,482,-0.05416666,115.75,23.43974649,0.542623302,0.999038302,0.99953072,0.243737011,0.598035934,0.168254267,55.50475338
83.623475,57.650442,59,3612.715878,1.69977E-05,0.602660714,0.337563883,0.001444808,0.055310662,7.93228E-05,0.002923612,0,20,38,42,482,-0.05416666,115.75,7.28009551,0.449908877,0.998518622,0.999451313,0.174686652,0.550407344,0.067145933,58.38634092
83.623475,57.650442,59,3612.715878,1.69977E-05,0.602660714,0.337563883,0.001444808,0.055310662,7.93228E-05,0.002923612,0,20,38,42,482,-0.05416666,115.75,18.27081096,0.514173327,0.999161402,0.999624416,0.225827719,0.589034145,0.146325997,56.12970909
83.190681,57.874097,58,980.0026516,0,0.546834488,0.365128363,0.00312407,0.084631487,0.000281591,0,0,20,38,42,498,-0.26666671,117.0833333,24.08742899,0.527131163,0.999067528,0.999574318,0.229886659,0.589970572,0.169194941,55.47794417
83.190681,57.874097,58,980.0026516,0,0.546834488,0.365128363,0.00312407,0.084631487,0.000281591,0,0,20,38,42,498,-0.26666671,117.0833333,5.20974955,0.402413199,0.99785618,0.999306208,0.152049885,0.536702371,-0.006723503,60.49161984
83.190681,57.874097,58,980.0026516,0,0.546834488,0.365128363,0.00312407,0.084631487,0.000281591,0,0,20,38,42,498,-0.26666671,117.0833333,8.7429549,0.464572974,0.999094312,0.99963066,0.202967657,0.585506002,0.124715107,56.74561945
83.190681,57.874097,58,980.0026516,0,0.546834488,0.365128363,0.00312407,0.084631487,0.000281591,0,0,20,38,42,498,-0.26666671,117.0833333,13.24985686,0.465341148,0.998774509,0.999493285,0.193777898,0.574090122,0.129362759,56.61316136
82.797653,58.074498,58,88656.02311,0,0.512926076,0.385729304,0.00270245,0.094971022,0.003561069,0.000110079,0,11,35,54,510,-0.53333348,111.75,15.3003725,0.493107516,0.999079009,0.999561337,0.218935868,0.592094519,0.144824425,56.17250389
82.797653,58.074498,58,88656.02311,0,0.512926076,0.385729304,0.00270245,0.094971022,0.003561069,0.000110079,0,11,35,54,510,-0.53333348,111.75,26.74712762,0.532571822,0.99918234,0.999595381,0.240568236,0.597954651,0.15749063,55.81151704
82.798792,58.073972,63,88657.14873,0,0.512453968,0.386620722,0.002713727,0.09454007,0.003561422,0.00011009,0,11,35,54,510,-0.53333348,111.75,31.06872143,0.51223871,0.998542609,0.999319493,0.218828727,0.58855682,0.196374106,54.70333798
82.799755,58.074217,59,88657.78326,0,0.508942875,0.389566922,0.002686441,0.095131927,0.003561736,0.0001101,0,11,35,54,510,-0.53333348,111.75,6.66203246,0.416162224,0.997924121,0.999203904,0.163482592,0.545561008,-0.009671265,60.57563106
81.807376,58.548153,54,1919.230867,0,0.730215128,0.209283135,0.001387582,0.05860958,0.000388943,0.000115632,0,11,35,54,511,-0.98750007,111.25,42.59278623,0.603527192,0.999210035,0.999590041,0.274940547,0.609435569,0.245523599,53.30257743
