DOC,DEM,farmland,forest,grassland,shrub,wetland,tundra,impermeablelayer,bareland,icesnow,bio12,bio1,t_clay,t_sand,t_silt,solar,DA,DADOM
3.202,0,0.812110701,0.004335971,0.006912538,0,0.008230007,0,0.159772195,0.008638588,0,621,9.27083302,0,0,0,166,0.996642336966536,0.999202343230676
0.7,1143,0.238905448,0.32362974,0.363280344,0.026958106,0.000140752,0,0.046257659,0.000827952,0,622,12.875,21,29,50,163.3333333,0.996716220206798,0.998855376109971
2.48,0,0.89028915,0.002246993,0.006237206,0,0.012994179,0,0.084202277,0.004030194,0,623,9.07916641,23,38,39,164,0.996542835370429,0.999200715741762
2.67,3,0.897234357,0.003402244,0.009646459,0,0.021826331,0,0.058325349,0.00956526,0,623,9.11250019,52,19,29,164,0.996720858342013,0.999241669673664
2.4785,0,0.880654752,0.004707631,0.007776783,0,0.021156367,0,0.072836408,0.012868058,0,626,9.16666698,23,38,39,166.4166667,0.996629108738233,0.99921465372871
2.1,2481,0.01362734,0.770222466,0.210741742,0.002990172,0.000171567,0,0.002132336,0.000114378,0,629,5.125,22,41,37,181.3333333,0.9967542448221,0.99868334577411
2.559,1,0.882120015,0.000920503,0.009530385,0,0.008863813,0,0.093589805,0.00497548,0,630,9.04166698,23,38,39,165.6666667,0.996623823238275,0.999229639219471
2.8095,2,0.312277145,8.73943E-05,0.002342166,0,0.005304831,0,0.672262812,0.007725652,0,633,9.63749981,0,0,0,166.5833333,0.99646074601747,0.999199598259072
1.1,1064,0.200560847,0.346472306,0.393837321,0.03950818,0.000141041,0,0.019015697,0.000464607,0,638,13.47916698,21,36,43,163.0833333,0.99699249472826,0.999080377341346
3,3183,0.024495783,0.078026321,0.879892434,0.015230412,4.88938E-05,0,0.001271238,0.001034918,0,643,2.88750005,20,35,45,196.25,0.997428278075457,0.999007919699464
1.42,883,0.006674141,0.799122865,0.188498318,0.005454066,0,0,0.000164875,8.5735E-05,0,644,6.17916679,11,46,43,151.75,0.997263231277336,0.998791124441595
1.51,883,0.006674141,0.799122865,0.188498318,0.005454066,0,0,0.000164875,8.5735E-05,0,644,6.17916679,11,46,43,151.75,0.997103773692482,0.998659063979807
1.55,883,0.006674141,0.799122865,0.188498318,0.005454066,0,0,0.000164875,8.5735E-05,0,644,6.17916679,11,46,43,151.75,0.997476968075932,0.998872766203309
1.1,2531,0.011617032,0.723882189,0.218188531,0.036245795,0.008130281,0,0.001091148,0.000648125,0.000196899,646,5.13333321,19,47,34,176,0.997084776253076,0.998809589839191
3.9,3366,0.01725823,0.020638204,0.931700086,0.024531283,0.000480526,0,0.003933801,0.001457868,0,655,1.7166667,20,35,45,200.0833333,0.997575458414426,0.999004668921442
0.4,3333,0.015857753,0.069094495,0.863880831,0.043686235,0.002232798,0,0.003821833,0.001426057,0,657,1.77083337,20,46,34,200.0833333,0.997106705736635,0.999137443685183
1.1,2981,0.032602014,0.669709958,0.289517035,0.006958047,3.27823E-05,0,0.000844145,0.000336019,0,661,3.51666665,21,36,43,193.8333333,0.996681139607014,0.998691534581201
1.6,745,0.035827345,0.784633938,0.171230926,0.004229268,0.000376865,0,0.003601159,0.000100497,0,686,13.13333321,24,47,29,145.9166667,0.996400223222023,0.998912606593873
10.83,97,0.31938905,0.119001642,0.551057853,0,0.000120313,0,0.010334891,9.62504E-05,0,727,8.99166679,19,37,44,108.8333333,0.997034920019252,0.998789862127271
8.47,97,0.31938905,0.119001642,0.551057853,0,0.000120313,0,0.010334891,9.62504E-05,0,727,8.99166679,19,37,44,108.8333333,0.997298917001217,0.998833681937472
